ID,Box,Year,Sex,Date,Population,Location,isotope data?,Alternate ID,notes
415,misc,2009,female,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,076,from Yang et al. 2015
416,misc,2009,male,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,077,from Yang et al. 2015
417,misc,2009,male,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,078,from Yang et al. 2015
418,misc,2009,male,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,080,from Yang et al. 2015
419,misc,2009,male,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,081,from Yang et al. 2015
420,misc,2009,male,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,086,from Yang et al. 2015
421,misc,2009,male,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,087,from Yang et al. 2015
422,misc,2009,male,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,088,from Yang et al. 2015
423,misc,2009,male,2009-12-05,WNA,Goleta Ellwood - Sweep 2,yes,089,from Yang et al. 2015
424,misc,2009,male,2009-12-05,WNA,Ellwood Main - ground,yes,090,from Yang et al. 2015
425,misc,2009,female,2009-12-05,WNA,Ellwood Main - ground,yes,091,from Yang et al. 2015
426,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 2,yes,055,from Yang et al. 2015
427,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 2,yes,056,from Yang et al. 2015
428,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 2,yes,057,from Yang et al. 2015
429,misc,2009,female,2009-12-05,WNA,Pismo - Sweep 2,yes,058,from Yang et al. 2015
430,misc,2009,female,2009-12-05,WNA,Pismo - Sweep 2,yes,059,from Yang et al. 2015
431,misc,2009,female,2009-12-05,WNA,Pismo - Sweep 2,yes,060,from Yang et al. 2015
432,misc,2009,female,2009-12-05,WNA,Pismo - Sweep 2,yes,061,from Yang et al. 2015
433,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,032,from Yang et al. 2015
434,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,034,from Yang et al. 2015
435,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,035,from Yang et al. 2015
436,misc,2009,female,2009-12-05,WNA,Pismo - Sweep 1,yes,036,from Yang et al. 2015
437,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,039,from Yang et al. 2015
438,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,040,from Yang et al. 2015
439,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,042,from Yang et al. 2015
440,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,045,from Yang et al. 2015
441,misc,2009,female,2009-12-05,WNA,Pismo - Sweep 1,yes,046,from Yang et al. 2015
442,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,047,from Yang et al. 2015
443,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,048,from Yang et al. 2015
444,misc,2009,male,2009-12-05,WNA,Pismo - Sweep 1,yes,050,from Yang et al. 2015
445,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,002,from Yang et al. 2015
446,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,003,from Yang et al. 2015
447,misc,2009,female,2009-12-05,WNA,Moran - Sweep,yes,004,from Yang et al. 2015
448,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,008,from Yang et al. 2015
449,misc,2009,female,2009-12-05,WNA,Moran - Sweep,yes,010,from Yang et al. 2015
450,misc,2009,female,2009-12-05,WNA,Moran - Sweep,yes,011,from Yang et al. 2015
451,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,012,from Yang et al. 2015
452,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,013,from Yang et al. 2015
453,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,015,from Yang et al. 2015
454,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,016,from Yang et al. 2015
455,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,017,from Yang et al. 2015
456,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,018,from Yang et al. 2015
457,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,019,from Yang et al. 2015
458,misc,2009,female,2009-12-05,WNA,Moran - Sweep,yes,020,from Yang et al. 2015
459,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,022,from Yang et al. 2015
460,misc,2009,female,2009-12-05,WNA,Moran - Sweep,yes,023,from Yang et al. 2015
461,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,024,from Yang et al. 2015
462,misc,2009,female,2009-12-05,WNA,Moran - Sweep,yes,025,from Yang et al. 2015
463,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,029,from Yang et al. 2015
464,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,030,from Yang et al. 2015
465,misc,2009,male,2009-12-05,WNA,Moran - Sweep,yes,031,from Yang et al. 2015
