Plate MFMB1,,,,,
Well,ID,Pop,Well,ID,Pop
A01,Moran5,WNA,A07,Mexico26,ENA
B01,Moran6,WNA,B07,Mexico27,ENA
C01,Moran7,WNA,C07,Mexico29,ENA
D01,Moran9,WNA,D07,Mexico30,ENA
E01,Moran14,WNA,E07,Mexico32,ENA
F01,Moran21,WNA,F07,Mexico36,ENA
G01,Moran26,WNA,G07,Mexico40,ENA
H01,Moran27,WNA,H07,Mexico43,ENA
A02,Moran28,WNA,A08,Mexico44,ENA
B02,Pismo33,WNA,B08,Mexico47,ENA
C02,PIsmo37,WNA,C08,Mexico48,ENA
D02,Pismo38,WNA,D08,Mexico56,ENA
E02,Pismo41,WNA,E08,Mexico57,ENA
F02,Pismo43,WNA,F08,Mexico58,ENA
G02,Pismo44,WNA,G08,Mexico59,ENA
H02,Pismo49,WNA,H08,Mexico60,ENA
A03,Pismo51,WNA,A09,Mexico64,ENA
B03,Pismo52,WNA,B09,Mexico65,ENA
C03,Pismo53,WNA,C09,Mexico67,ENA
D03,Pismo54,WNA,D09,Mexico72,ENA
E03,Goleta63,WNA,E09,Mexico73,ENA
F03,Goleta67,WNA,F09,Mexico75,ENA
G03,Goleta69,WNA,G09,Mexico76,ENA
H03,Goleta70,WNA,H09,Mexico77,ENA
A04,Goleta72,WNA,A10,Mexico81,ENA
B04,Goleta79,WNA,B10,Mexico84,ENA
C04,Goleta82,WNA,C10,Mexico86,ENA
D04,Goleta83,WNA,D10,Mexico88,ENA
E04,Goleta84,WNA,E10,Mexico94,ENA
F04,Goleta85,WNA,F10,Mexico95,ENA
G04,SCLighthouse92,WNA,G10,Mexico97,ENA
H04,SCLighthouse93,WNA,H10,Mexico99,ENA
A05,SCLighthouse95,WNA,A11,Mexico101,ENA
B05,SCLighthouse98,WNA,B11,Mexico102,ENA
C05,SCLighthouse101,WNA,C11,Mexico106,ENA
D05,SCLighthouse104,WNA,D11,Mexico107,ENA
E05,SCLighthouse107,WNA,E11,Mexico110,ENA
F05,SCLighthouse108,WNA,F11,Mexico119,ENA
G05,SCLighthouse115,WNA,G11,Mexico120,ENA
H05,SCLighthouse117,WNA,H11,Mexico121,ENA
A06,Mexico10,ENA,A12,Mexico123,ENA
B06,Mexico11,ENA,B12,Mexico127,ENA
C06,Mexico12,ENA,C12,HAW1,HAW
D06,Mexico13,ENA,D12,HAW2,HAW
E06,Mexico15,ENA,E12,HAW3,HAW
F06,Mexico17,ENA,F12,HAW4,HAW
G06,Mexico21,ENA,G12,NSW5,NSW
H06,Mexico24,ENA,H12,NSW6,NSW
