No,Date,Sex,Collected.Alive_Dead,dist.high.point.km_maxprob,dist.high.point.km_min,dist.high.point.km_max,dist.high.point.km_mean,dist.high.point.km_sd,dist.centroid.km_max
30,6/2/2016,F,A,3649.202627,3441.981265,3651.586694,3539.088888,67.72422124,3519.088687
21,15/12/2015,M,A,3577.07446,3390.718907,3750.592114,3577.999465,84.5561482,3574.190183
26,15/12/2015,F,A,3583.163688,3355.799529,4429.837815,3560.890478,112.0186077,3550.65034
10,6/2/2016,M,A,3576.94649,3360.748368,3864.649759,3576.084969,126.0865218,3573.84091
59,11/3/2016,F,A,3500.425145,3079.663306,4070.945946,3361.298674,137.7679503,3331.537545
57,11/3/2016,F,A,3649.202627,3358.444417,4429.837815,3552.680208,191.4801623,3427.328367
94,11/3/2016,F,D,3649.202627,3350.890701,4429.837815,3556.463917,215.6835988,3491.049943
24,15/12/2015,F,A,4429.837815,3360.415988,4429.837815,3586.427815,224.2191928,3424.374532
58,11/3/2016,F,A,3649.202627,2755.318264,4429.837815,3489.056562,240.4469252,3419.360909
121,11/3/2016,F,D,3531.572589,2403.5155,4267.181869,3355.021937,282.9185991,3276.897729
11,6/2/2016,M,A,4429.837815,2755.318264,4429.837815,4069.628833,300.9181287,3984.050428
102,11/3/2016,F,D,3322.309466,2614.751011,3947.16099,3206.838385,301.8358901,3149.963345
13,6/2/2016,M,A,1383.750009,987.6832826,2414.382004,1594.778755,306.0420061,1547.705662
67,11/3/2016,M,A,3422.377428,2231.846119,3588.103978,2686.177143,327.0952081,2626.889748
56,11/3/2016,F,A,4429.837815,3407.618227,4429.837815,3773.651574,329.312632,3401.596469
99,11/3/2016,M,D,4429.837815,2755.318264,4429.837815,3947.934968,331.1279947,3823.045774
12,6/2/2016,M,A,1383.750009,849.524316,2283.316889,1648.24884,332.7057756,1596.916209
84,11/3/2016,M,A,1113.957568,849.524316,2274.283264,1619.592066,337.536871,1567.20282
60,11/3/2016,F,A,4429.837815,2514.765215,4429.837815,3995.650862,342.0063594,3907.195233
97,11/3/2016,F,D,3421.555975,2286.845914,3761.276713,2732.180752,342.8842842,2690.925977
119,11/3/2016,F,D,3421.555975,2249.41482,3683.524935,2711.855025,344.7199495,2672.137885
65,11/3/2016,M,A,2414.382004,1154.570751,4418.096765,1987.072877,350.8724507,1949.280738
72,11/3/2016,F,A,3422.377428,2099.886051,3743.628101,2723.518249,351.516637,2663.610365
101,11/3/2016,M,D,2414.382004,1096.925923,2681.712551,1760.865401,353.8111526,1724.512006
44,6/2/2016,F,A,3421.555975,2231.846119,3761.276713,2750.243268,354.9739338,2702.866344
43,6/2/2016,F,A,3421.555975,2226.518776,3761.276713,2761.173851,359.0806749,2711.351804
76,11/3/2016,M,A,3663.539593,2145.47975,3969.436204,3092.683495,359.4006463,3034.018097
29,6/2/2016,F,A,3340.751683,2366.498314,4177.577249,3270.652716,359.5934548,3186.125329
86,11/3/2016,M,A,3663.539593,2126.989743,3969.436204,3097.909114,363.0122297,3037.280461
15,15/12/2015,F,A,2403.210885,1117.932844,2739.497613,1847.71234,367.8341679,1806.24587
17,15/12/2015,F,A,3421.555975,2354.291758,3850.992867,2882.974212,373.8166845,2820.769816
64,11/3/2016,F,A,3421.555975,2127.581563,3947.16099,2864.541213,374.8712919,2807.330455
47,11/3/2016,M,A,3422.377428,1849.73127,3767.724079,2697.212233,380.5780416,2627.860729
77,11/3/2016,M,A,3422.377428,1607.981504,3767.724079,2670.995006,383.1593734,2596.231127
81,11/3/2016,M,A,3421.555975,2090.616645,3947.16099,2812.460478,384.4373411,2754.617173
107,11/3/2016,M,A,3422.377428,2421.879463,3457.147871,2834.973513,394.6734111,2799.292148
106,11/3/2016,F,D,2414.382004,2344.733126,4429.837815,2566.105092,398.2284448,2570.655967
27,15/12/2015,F,A,1750.38255,991.5846003,2949.671949,1844.840029,402.3866463,1776.701568
110,11/3/2016,M,A,1487.205264,736.3543685,2907.468618,1746.365464,406.5949683,1675.438308
127,11/3/2016,F,D,3486.79965,2144.735175,4429.837815,3288.667566,410.5704857,3186.568209
40,6/2/2016,F,A,3663.539593,2070.329152,4026.39496,3094.528208,413.3359546,3012.571028
75,11/3/2016,M,A,3650.992304,2053.037141,3994.937845,2999.909256,413.6526829,2935.830032
123,11/3/2016,F,D,3421.555975,2387.773722,3588.103978,2837.705642,415.0447859,2784.555842
32,6/2/2016,F,A,4429.837815,2366.055726,4676.362501,3436.669236,415.2141702,3216.892828
73,11/3/2016,F,A,3421.555975,1830.27073,3958.285314,2727.969431,417.2876007,2654.76869
120,11/3/2016,F,D,3422.377428,1644.957456,3958.285314,2715.323761,418.3143131,2639.764282
48,11/3/2016,F,A,3285.429536,2070.48245,4267.181869,3184.304712,426.3814023,3091.654429
95,11/3/2016,M,D,3650.992304,2033.442895,4026.39496,3025.730162,428.0059002,2952.330561
36,6/2/2016,F,A,4198.79497,1782.834195,4429.837815,3248.721243,434.7176472,3141.425402
88,11/3/2016,M,A,3701.450844,2033.329337,4187.288152,3147.183873,435.0754765,3054.936438
