model:	p2_cgrowthpops:	HAW ROT	theta:	781.408640847	ll:	-458.0084	AIC:	932.0169	optimal_parameters:	0.499999998242 0.00463013178997 0.26876429332 0.148441947606 0.0679323715719 0.00575276370803 0.123041206491 0.0998938146823
71 0.604572765535
model:	p2_lgrowth_1pops:	HAW GUA	theta:	797.615251415	ll:	-463.3145	AIC:	944.6291	optimal_parameters:	0.321911752893 0.00157706422759 0.0357667394389 0.554244200669 0.0676443768439 0.00443677768445 0.127460993136 4.99999992124 0.0689700541268
model:	p2_lgrowth_1pops:	HAW ROT	theta:	7286.33473339	ll:	-489.6479	AIC:	997.2958	optimal_parameters:	0.0785451990349 0.000359623776695 0.0570490082501 0.999740565132 0.254659475882 0.001000000409 0.843710580995 0.0986124021046 3.54871503604
model:	p2_lgrowth_bothpops:	ROT HAW	theta:	773.586954151	ll:	-457.9753	AIC:	935.9507	optimal_parameters:	0.499999477272 0.484506121792 0.000855129579384 0.0460593494511 0.0119217168701 0.0134813087452 0.00010555693048 1.20977206027 1.08054757522 0.39835185725
model:	p2_cgrowthpops:	HAW ROT	theta:	785.350300969	ll:	-456.403	AIC:	928.8061	optimal_parameters:	0.0781458435941 0.499999949026 0.965435003383 0.0120774816319 0.0238973858031 0.0151836877423 0.556201724008 0.095315554558
model:	p2_lgrowth_bothpops:	ROT HAW	theta:	1226.08254041	ll:	-608.278	AIC:	1236.556	optimal_parameters:	0.166171827071 0.499847333575 0.00206784306853 0.999170501124 0.139840474935 0.0388619546792 0.00860757916116 0.253703342981 0.0100000035035 0.306710811145
model:	p2_cgrowthpops:	HAW GUA	theta:	3533.71217542	ll:	-495.3888	AIC:	1006.7775	optimal_parameters:	0.4968452871 0.128069759343 0.127866856517 0.000472783503204 0.855361023151 0.00100000032278 0.579849180961 0.704868761677
model:	p2_lgrowth_2pops:	GUA HAW	theta:	794.593399689	ll:	-467.2036	AIC:	952.4072	optimal_parameters:	0.00669609402516 0.498451323311 0.0979892396518 0.999999079481 0.00100000422374 0.010146236657 0.0500579495078 0.0391998922914 1.08656009508
model:	p2_lgrowth_2pops:	HAW ROT	theta:	2669.74393529	ll:	-477.2724	AIC:	972.5449	optimal_parameters:	0.499999995684 0.0062116773249 0.173879018469 0.884045364662 0.923246312446 0.0021195198368 0.0456747729269 1.10445312929 3.69276677986
model:	p2_lgrowth_2pops:	ROT HAW	theta:	769.991892763	ll:	-458.4273	AIC:	934.8546	optimal_parameters:	0.376012295787 0.405571086375 0.0184532791177 0.999999995703 0.0153346789323 0.0110351514257 0.555053509975 0.857515109188 1.81003924055
model:	p2_lgrowth_1pops:	HAW GUA	theta:	816.056945798	ll:	-471.1711	AIC:	960.3422	optimal_parameters:	0.38446501423 0.00765141382599 0.999999997611 0.0217186096789 0.112810914085 0.00537790305619 0.303093711703 0.259488152521 0.0281172028178
model:	p2_lgrowth_2pops:	HAW GUA	theta:	801.067586175	ll:	-467.8696	AIC:	953.7393	optimal_parameters:	0.0573234702027 0.0210038417738 0.999999998685 0.440669899731 0.0243756169747 0.00918257063089 0.000684055699554 0.0450906950661 0.954815938601
model:	p2_lgrowth_2pops:	HAW ROT	theta:	784.799254187	ll:	-457.0728	AIC:	932.1455	optimal_parameters:	0.19811983572 0.0269163634702 0.424801685738 0.05889629865 0.0461126933585 0.00926106923701 0.335612954316 0.330915294737 3.99999999789
model:	p2_lgrowth_bothpops:	HAW ROT	theta:	784.991779329	ll:	-457.0965	AIC:	934.1931	optimal_parameters:	0.309360982719 0.0242559177463 0.999999995108 0.985762414525 0.0623267521311 0.00835216670379 0.0476586489394 0.182712418288 3.23468528895 3.91168566091
model:	p2_lgrowth_bothpops:	HAW ROT	theta:	784.829877522	ll:	-457.0404	AIC:	934.0808	optimal_parameters:	0.302814368477 0.0250262057786 0.910300382668 0.683945485244 0.0611741106368 0.0085004014425 0.342837459156 0.0401803936973 3.99999961763 0.633315839114
model:	p2_lgrowth_2pops:	ROT HAW	theta:	776.554659871	ll:	-465.1191	AIC:	948.2382	optimal_parameters:	0.00788088725968 0.499999999896 0.40259282894 0.0679344257522 0.00102864061659 0.0136643907829 0.285481576079 0.182632973035 1.00750181829
model:	p2_lgrowth_2pops:	ROT HAW	theta:	775.380194923	ll:	-457.6155	AIC:	933.231	optimal_parameters:	0.499153906527 0.499940828825 0.0236231449525 0.260238048288 0.0216718969517 0.0135843257597 0.0632260412102 0.612397658434 3.86864471552
model:	p2_lgrowth_bothpops:	HAW ROT	theta:	782.819337963	ll:	-462.2709	AIC:	944.5417	optimal_parameters:	0.499999999739 0.0337496476956 0.510347854104 0.888716591717 0.161494669526 0.0116554433982 0.438696094308 0.000301717343474 3.40083400358 2.28728243085
model:	p2_lgrowth_1pops:	GUA HAW	theta:	794.242178738	ll:	-467.2895	AIC:	952.5789	optimal_parameters:	0.0279645657963 0.499999807036 0.944117902912 0.999993782667 0.00394497031136 0.012379187964 0.493944138007 0.000323128932586 0.129764064934
model:	p2_cgrowthpops:	HAW ROT	theta:	785.278621728	ll:	-456.3826	AIC:	928.7652	optimal_parameters:	0.0758353186963 0.499999993661 0.999714132457 0.0120594106522 0.0233750093978 0.0151352821288 0.260720036092 4.4137426782e-07
model:	p2_lgrowth_bothpops:	HAW GUA	theta:	799.207382866	ll:	-471.383	AIC:	962.766	optimal_parameters:	0.322497284206 0.0119038063718 0.999998481128 0.997602641661 0.070756056829 0.00515557247396 0.0117414199872 0.00900190063608 0.166955588051 1.66900292458
model:	p2_cgrowthpops:	GUA HAW	theta:	789.685428157	ll:	-464.2906	AIC:	944.5812	optimal_parameters:	0.00670356503637 0.493604740399 0.117957180718 0.915071304846 0.00100000002434 0.0109083618806 0.00756349362328 1.00703220638
